Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
652,Bot 02,B02,True,True,242.643,7,6,7,2,0,105.891,0.250,Stuck,2354,q_table_v6.json,False,45.068,Brake,cp:7|dist:close|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Racing
653,Bot 07,B07,True,True,244.310,7,6,7,3,0,83.726,0.250,Stuck,2354,q_table_v6.json,False,45.056,AccelerateForward,cp:7|dist:close|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Racing
654,Bot 10,B10,True,True,65.506,2,1,2,0,0,51.780,0.250,Stuck,2354,q_table_v6.json,False,45.062,RecoveryTurn,cp:2|dist:medium|angle:hardLeft|speed:slow|progress:danger|bomb:False|fsm:Recover
655,Bot 03,B03,True,True,544.824,15,14,0,1,0,115.347,0.250,RaceComplete,2354,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:fast|progress:fresh|bomb:False|fsm:Recover
656,Bot 01,B01,True,True,544.037,15,14,0,2,0,106.466,0.250,RaceComplete,2354,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
657,Bot 09,B09,True,True,536.124,15,14,0,0,1,73.436,0.250,RaceComplete,2356,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
658,Bot 04,B04,True,True,383.535,11,10,11,0,0,108.293,0.250,Stuck,2359,q_table_v6.json,False,45.059,TurnLeftAndAccelerate,cp:11|dist:close|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Recover
659,Bot 08,B08,True,True,377.247,11,10,11,5,4,127.708,0.250,Stuck,2359,q_table_v6.json,False,45.058,TurnRightAndAccelerate,cp:11|dist:medium|angle:hardLeft|speed:cruise|progress:danger|bomb:False|fsm:Recover
660,Bot 06,B06,True,True,546.437,15,14,0,3,0,111.439,0.250,RaceComplete,2359,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
661,Bot 07,B07,True,True,389.673,11,10,11,1,0,97.256,0.250,Stuck,2359,q_table_v6.json,False,45.059,Coast,cp:11|dist:close|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Racing
662,Bot 02,B02,True,True,540.964,15,14,0,6,1,103.391,0.250,RaceComplete,2359,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
663,Bot 10,B10,True,True,541.677,15,14,0,0,1,93.520,0.250,RaceComplete,2359,q_table_v6.json,False,0.000,HardRight,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
664,Bot 05,B05,True,True,389.282,11,10,11,1,0,110.577,0.250,Stuck,2359,q_table_v6.json,False,45.057,AccelerateForward,cp:11|dist:close|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Racing
665,Bot 01,B01,True,True,246.462,7,6,7,0,0,79.252,0.250,Stuck,2361,q_table_v6.json,False,45.062,Brake,cp:7|dist:close|angle:left|speed:slow|progress:danger|bomb:False|fsm:Racing
666,Bot 03,B03,True,True,544.516,15,14,0,3,0,95.346,0.250,RaceComplete,2361,q_table_v6.json,False,0.000,HardLeft,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
667,Bot 07,B07,True,True,135.266,4,3,4,8,0,60.994,0.250,Stuck,2363,q_table_v6.json,False,45.062,TurnLeftAndAccelerate,cp:4|dist:medium|angle:hardLeft|speed:slow|progress:danger|bomb:False|fsm:Recover
668,Bot 05,B05,True,True,138.740,4,3,4,1,0,61.326,0.250,Stuck,2363,q_table_v6.json,False,45.063,HardLeft,cp:4|dist:far|angle:hardLeft|speed:slow|progress:danger|bomb:False|fsm:Recover
669,Bot 10,B10,True,True,243.138,7,6,7,2,0,75.784,0.250,Stuck,2365,q_table_v6.json,False,45.081,TurnLeftAndAccelerate,cp:7|dist:medium|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
670,Bot 09,B09,True,True,389.752,11,10,11,6,0,111.612,0.250,Stuck,2365,q_table_v6.json,False,45.058,RecoveryTurn,cp:11|dist:close|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Racing
671,Bot 06,B06,True,True,541.926,15,14,0,3,0,87.960,0.250,RaceComplete,2365,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
