Episode,TotalReward,CheckpointsReached,BestCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest
270,63.786,2,1,0,0,34.022,0.260,Stuck,196,q_table_v4.json,False
271,96.873,3,2,6,1,31.199,0.258,Stuck,196,q_table_v4.json,False
272,70.846,2,1,0,0,25.226,0.257,Stuck,196,q_table_v4.json,False
273,69.157,2,1,0,0,26.558,0.256,Stuck,196,q_table_v4.json,False
274,70.616,2,1,0,0,25.308,0.255,Stuck,196,q_table_v4.json,False
275,76.553,2,1,0,0,25.643,0.253,Stuck,196,q_table_v4.json,False
276,70.188,2,1,0,0,25.226,0.252,Stuck,196,q_table_v4.json,False
277,62.111,2,1,1,0,25.225,0.251,Stuck,196,q_table_v4.json,False
278,173.665,5,4,2,1,47.215,0.250,Stuck,196,q_table_v4.json,False
279,66.463,2,1,0,0,25.309,0.250,Stuck,196,q_table_v4.json,False
280,66.911,2,1,0,0,25.313,0.250,Stuck,196,q_table_v4.json,False
281,68.984,2,1,0,0,25.975,0.250,Stuck,197,q_table_v4.json,False
282,69.061,2,1,0,0,25.306,0.250,Stuck,197,q_table_v4.json,False
283,71.442,2,1,0,0,27.884,0.250,Stuck,197,q_table_v4.json,False
284,65.824,2,1,0,0,27.634,0.250,Stuck,197,q_table_v4.json,False
285,69.956,2,1,0,0,26.387,0.250,Stuck,197,q_table_v4.json,False
286,67.609,2,1,0,0,25.309,0.250,Stuck,197,q_table_v4.json,False
287,67.182,2,1,0,0,25.254,0.250,Stuck,197,q_table_v4.json,False
288,64.121,2,1,0,0,25.283,0.250,Stuck,197,q_table_v4.json,False
289,75.997,2,1,0,0,25.390,0.250,Stuck,197,q_table_v4.json,False
290,66.809,2,1,0,0,25.726,0.250,Stuck,197,q_table_v4.json,False
291,64.931,2,1,0,0,25.308,0.250,Stuck,197,q_table_v4.json,False
292,67.560,2,1,0,0,26.224,0.250,Stuck,197,q_table_v4.json,False
293,69.393,2,1,0,0,25.309,0.250,Stuck,197,q_table_v4.json,False
294,62.945,2,1,0,0,25.976,0.250,Stuck,197,q_table_v4.json,False
295,67.464,2,1,2,0,28.541,0.250,Stuck,197,q_table_v4.json,False
296,67.068,2,1,0,0,26.063,0.250,Stuck,197,q_table_v4.json,False
297,66.346,2,1,0,0,25.306,0.250,Stuck,197,q_table_v4.json,False
298,64.210,2,1,2,0,27.051,0.250,Stuck,197,q_table_v4.json,False
299,139.534,4,3,5,0,38.007,0.250,Stuck,197,q_table_v4.json,False
300,64.788,2,1,0,0,25.308,0.250,Stuck,197,q_table_v4.json,False
301,65.278,2,1,0,0,25.974,0.250,Stuck,197,q_table_v4.json,False
302,66.237,2,1,1,1,35.767,0.250,Stuck,199,q_table_v4.json,False
303,249.968,7,6,0,0,50.121,0.250,Stuck,199,q_table_v4.json,False
304,66.223,2,1,0,0,25.390,0.250,Stuck,199,q_table_v4.json,False
305,66.907,2,1,0,0,25.311,0.250,Stuck,199,q_table_v4.json,False
306,67.430,2,1,0,0,26.637,0.250,Stuck,199,q_table_v4.json,False
307,65.912,2,1,0,0,25.309,0.250,Stuck,199,q_table_v4.json,False
308,68.617,2,1,0,0,27.549,0.250,Stuck,199,q_table_v4.json,False
309,248.304,7,6,3,1,54.439,0.250,Stuck,199,q_table_v4.json,False
310,59.247,2,1,0,1,25.643,0.250,Stuck,200,q_table_v4.json,False
311,144.947,4,3,4,0,34.601,0.250,Stuck,200,q_table_v4.json,False
312,66.230,2,1,0,0,25.226,0.250,Stuck,200,q_table_v4.json,False
313,65.531,2,1,0,0,25.245,0.250,Stuck,200,q_table_v4.json,False
314,68.342,2,1,0,0,25.208,0.250,Stuck,200,q_table_v4.json,False
315,65.947,2,1,0,0,26.802,0.250,Stuck,200,q_table_v4.json,False
316,67.660,2,1,0,0,25.310,0.250,Stuck,200,q_table_v4.json,False
317,69.338,2,1,0,0,25.227,0.250,Stuck,200,q_table_v4.json,False
318,67.572,2,1,0,0,30.045,0.250,Stuck,200,q_table_v4.json,False
319,74.811,2,1,0,0,26.386,0.250,Stuck,200,q_table_v4.json,False
320,67.706,2,1,0,0,26.718,0.250,Stuck,200,q_table_v4.json,False
321,65.822,2,1,0,0,25.308,0.250,Stuck,200,q_table_v4.json,False
322,63.827,2,1,0,0,26.058,0.250,Stuck,200,q_table_v4.json,False
323,71.810,2,1,0,0,25.556,0.250,Stuck,200,q_table_v4.json,False
324,70.032,2,1,0,0,26.145,0.250,Stuck,200,q_table_v4.json,False
325,68.026,2,1,0,0,26.883,0.250,Stuck,200,q_table_v4.json,False
326,210.909,6,5,5,3,55.184,0.250,Stuck,200,q_table_v4.json,False
