Episode,TotalReward,CheckpointsReached,CoinsCollected,BombsHit,Duration,Epsilon
370,26.501,2,0,0,25.31,0.248
371,26.456,2,0,0,25.74,0.243
372,28.087,2,0,0,25.627,0.238
373,27.209,2,0,0,25.226,0.233
374,29.172,2,0,0,25.236,0.229
375,26.559,2,0,0,26.126,0.224
376,31.597,2,0,0,25.23,0.22
377,26.117,2,0,0,27.963,0.215
378,34.996,2,0,0,25.313,0.211
379,27.287,2,0,0,26.053,0.207
380,31.668,2,0,0,25.724,0.203
381,34.673,2,0,0,27.799,0.198
382,32.478,2,0,0,25.313,0.194
383,32.399,2,0,0,25.308,0.191
