Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
93,Bot 05,B05,TRUE,FALSE,426.593,11,10,11,3,2,98.995,0.1,Stuck,2562,q_table_v7_best.json,FALSE,45.054,AccelerateForward,cp:11|dist:far|angle:behindLeft|speed:max|progress:danger|bomb:False|fsm:Recover
94,Bot 07,B07,TRUE,FALSE,109.307,3,2,3,0,0,57.014,0.1,Stuck,2563,q_table_v7_best.json,FALSE,45.062,AccelerateForward,cp:3|dist:far|angle:forward|speed:fast|progress:danger|bomb:False|fsm:Recover
95,Bot 01,B01,TRUE,FALSE,101.694,3,2,3,0,0,56.428,0.1,Stuck,2565,q_table_v7_best.json,FALSE,45.058,AccelerateForward,cp:3|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
96,Bot 03,B03,TRUE,FALSE,94.574,3,2,3,0,0,57.753,0.1,Stuck,2565,q_table_v7_best.json,FALSE,45.061,RecoveryTurn,cp:3|dist:far|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Recover
97,Bot 02,B02,TRUE,FALSE,95.398,3,2,3,0,0,56.425,0.1,Stuck,2565,q_table_v7_best.json,FALSE,45.06,TurnRightAndAccelerate,cp:3|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
98,Bot 08,B08,TRUE,FALSE,122.934,3,2,3,5,0,57.262,0.1,Stuck,2565,q_table_v7_best.json,FALSE,45.062,AccelerateForward,cp:3|dist:far|angle:left|speed:max|progress:danger|bomb:False|fsm:Recover
99,Bot 04,B04,TRUE,FALSE,545.348,15,14,15,2,0,87.303,0.1,RaceComplete,2565,q_table_v7_best.json,FALSE,6.145,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
100,Bot 06,B06,TRUE,FALSE,544.365,15,14,15,0,0,83.064,0.1,RaceComplete,2565,q_table_v7_best.json,FALSE,6.135,Coast,cp:finish|dist:close|angle:left|speed:cruise|progress:fresh|bomb:False|fsm:Racing
101,Bot 10,B10,TRUE,FALSE,388.658,11,10,11,3,0,109.538,0.1,Stuck,2565,q_table_v7_best.json,FALSE,45.058,TurnLeftAndAccelerate,cp:11|dist:far|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
102,Bot 09,B09,TRUE,FALSE,554.784,15,14,15,0,0,109.292,0.1,RaceComplete,2571,q_table_v7_best.json,FALSE,6.806,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
