Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
562,Bot 06,B06,True,True,436.665,12,11,12,1,0,93.272,0.092,Stuck,2534,q_table_v7.json,False,45.022,Brake,cp:12|dist:far|angle:behindLeft|speed:cruise|progress:danger|bomb:False|fsm:Recover
563,Bot 02,B02,True,True,316.800,9,8,9,0,0,73.666,0.092,Stuck,2534,q_table_v7.json,False,45.018,Brake,cp:9|dist:far|angle:behindRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
564,Bot 04,B04,True,True,322.080,9,8,9,3,0,72.788,0.092,Stuck,2534,q_table_v7.json,False,45.026,Coast,cp:9|dist:far|angle:right|speed:cruise|progress:danger|bomb:False|fsm:Recover
565,Bot 07,B07,True,True,535.080,15,14,15,5,1,87.387,0.091,RaceComplete,2536,q_table_v7.json,False,6.595,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
566,Bot 10,B10,True,True,169.851,5,4,5,1,0,66.902,0.091,Stuck,2542,q_table_v7.json,False,45.022,AccelerateForward,cp:5|dist:medium|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Racing
567,Bot 01,B01,True,True,212.351,6,5,6,1,0,69.143,0.090,Stuck,2542,q_table_v7.json,False,45.026,Brake,cp:6|dist:close|angle:behindLeft|speed:slow|progress:danger|bomb:False|fsm:Racing
568,Bot 09,B09,True,True,212.540,6,5,6,0,0,64.241,0.090,Stuck,2544,q_table_v7.json,False,45.027,Coast,cp:6|dist:medium|angle:behindRight|speed:slow|progress:danger|bomb:False|fsm:Recover
569,Bot 02,B02,True,True,286.533,8,7,8,0,0,76.445,0.089,Stuck,2565,q_table_v7.json,False,45.021,AccelerateForward,cp:8|dist:medium|angle:left|speed:cruise|progress:danger|bomb:False|fsm:Recover
570,Bot 10,B10,True,True,171.165,5,4,5,0,0,62.136,0.089,Stuck,2572,q_table_v7.json,False,45.026,AccelerateForward,cp:5|dist:close|angle:left|speed:slow|progress:danger|bomb:False|fsm:Racing
571,Bot 04,B04,True,True,279.729,8,7,8,1,0,79.672,0.088,Stuck,2580,q_table_v7.json,False,45.031,Coast,cp:8|dist:close|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Racing
